GLPSOL: GLPK LP/MIP Solver, v4.65
Parameter(s) specified in the command line:
 --log result\single-year-20221017T1602\scenario_base.log --write C:\Users\MOUADH~1\AppData\Local\Temp\tmpz8yhaaej.glpk.raw
 --wglp C:\Users\MOUADH~1\AppData\Local\Temp\tmpoe0hsaig.glpk.glp --cpxlp
 C:\Users\MOUADH~1\AppData\Local\Temp\tmpc4re0y9j.pyomo.lp
Reading problem data from 'C:\Users\MOUADH~1\AppData\Local\Temp\tmpc4re0y9j.pyomo.lp'...
200985 rows, 225794 columns, 765714 non-zeros
1594477 lines were read
Writing problem data to 'C:\Users\MOUADH~1\AppData\Local\Temp\tmpoe0hsaig.glpk.glp'...
1296994 lines were written
GLPK Simplex Optimizer, v4.65
200985 rows, 225794 columns, 765714 non-zeros
Preprocessing...
153079 rows, 185053 columns, 631866 non-zeros
Scaling...
 A: min|aij| =  1.229e-04  max|aij| =  1.217e+01  ratio =  9.899e+04
GM: min|aij| =  2.204e-01  max|aij| =  4.538e+00  ratio =  2.059e+01
EQ: min|aij| =  4.857e-02  max|aij| =  1.000e+00  ratio =  2.059e+01
Constructing initial basis...
Size of triangular part is 153076
      0: obj =   7.449251125e+11 inf =   2.415e+06 (423)
Perturbing LP to avoid stalling [199]...
    666: obj =   7.566283019e+11 inf =   1.102e+06 (101) 4
    734: obj =   7.593164629e+11 inf =   9.292e-10 (0)
Warning: basis matrix is ill-conditioned (cond = 4.48e+13)
* 43158: obj =   9.717375454e+10 inf =   1.252e-05 (38732) 2
* 43461: obj =   9.625041636e+10 inf =   1.233e-05 (37095) 2
* 43763: obj =   9.418332287e+10 inf =   7.243e-05 (36322) 3
* 44088: obj =   9.219857141e+10 inf =   7.194e-05 (38474) 2
* 44420: obj =   9.105820137e+10 inf =   7.014e-05 (42185) 3
* 44697: obj =   9.075078574e+10 inf =   7.138e-05 (37986) 2
* 45020: obj =   9.026972617e+10 inf =   8.329e-05 (36261) 2
* 45325: obj =   8.941797156e+10 inf =   8.319e-05 (35439) 2
* 45672: obj =   8.819272818e+10 inf =   8.270e-05 (36677) 3
* 45992: obj =   8.593014399e+10 inf =   8.249e-05 (37511) 2
* 46321: obj =   8.472380313e+10 inf =   6.546e-05 (40554) 3
* 46648: obj =   8.427479293e+10 inf =   1.152e-05 (35554) 2
* 46910: obj =   8.396379408e+10 inf =   1.167e-05 (36298) 3
* 47212: obj =   8.396379408e+10 inf =   1.167e-05 (36111) 2
* 47514: obj =   8.360545800e+10 inf =   1.367e-05 (37188) 3
* 47842: obj =   8.325968760e+10 inf =   1.431e-05 (42592) 2
* 48105: obj =   8.303608606e+10 inf =   1.761e-05 (42021) 2
* 48393: obj =   8.233917010e+10 inf =   1.731e-05 (37234) 2
* 48697: obj =   8.171135132e+10 inf =   1.674e-05 (39059) 2
* 48981: obj =   8.123115412e+10 inf =   1.992e-05 (36470) 2
* 49267: obj =   8.058122959e+10 inf =   1.703e-05 (39370) 3
* 49534: obj =   7.996224040e+10 inf =   1.753e-05 (36549) 2
* 49753: obj =   7.948386285e+10 inf =   1.721e-05 (37581) 1
* 50056: obj =   7.886441530e+10 inf =   1.717e-05 (37099) 2
* 50361: obj =   7.816689740e+10 inf =   1.699e-05 (35140) 3
* 50666: obj =   7.749374859e+10 inf =   1.693e-05 (35563) 2
* 50974: obj =   7.699953823e+10 inf =   1.677e-05 (37524) 3
* 51255: obj =   7.646434116e+10 inf =   1.671e-05 (40514) 2
* 51499: obj =   7.601347374e+10 inf =   1.684e-05 (37126) 1
* 51798: obj =   7.556158786e+10 inf =   1.704e-05 (36055) 3
* 52121: obj =   7.494545569e+10 inf =   1.787e-05 (36608) 2
* 52438: obj =   7.415098441e+10 inf =   1.823e-05 (36659) 2
* 52792: obj =   7.368036015e+10 inf =   1.845e-05 (37714) 3
* 53114: obj =   7.293488994e+10 inf =   1.767e-05 (40836) 2
* 53388: obj =   7.097025827e+10 inf =   1.767e-05 (38283) 2
* 53683: obj =   7.039272581e+10 inf =   1.777e-05 (38598) 3
* 53967: obj =   6.988523791e+10 inf =   1.794e-05 (34051) 2
* 54237: obj =   6.930079075e+10 inf =   1.768e-05 (35655) 2
* 54562: obj =   6.822541988e+10 inf =   1.817e-05 (43401) 2
* 54894: obj =   6.755752655e+10 inf =   1.924e-05 (41342) 2
* 55231: obj =   6.610417481e+10 inf =   1.841e-05 (42876) 3
* 55596: obj =   6.549009793e+10 inf =   1.353e-04 (37896) 3
* 55900: obj =   6.532913010e+10 inf =   1.346e-04 (43358) 2
* 56259: obj =   6.496465607e+10 inf =   1.344e-04 (39452) 3
* 56648: obj =   6.488572621e+10 inf =   2.478e-05 (42480) 3
* 56966: obj =   6.423506292e+10 inf =   2.140e-05 (37142) 2
* 57278: obj =   6.152536869e+10 inf =   3.652e-05 (35849) 2
* 57591: obj =   5.883472483e+10 inf =   4.275e-05 (37386) 3
* 57880: obj =   5.652138622e+10 inf =   4.269e-05 (36736) 2
* 58141: obj =   5.499452003e+10 inf =   4.277e-05 (36927) 2
* 58461: obj =   5.389454594e+10 inf =   3.089e-05 (37449) 2
* 58768: obj =   5.283564400e+10 inf =   3.099e-05 (36891) 2
* 59065: obj =   5.193784418e+10 inf =   1.077e-04 (36074) 3
* 59414: obj =   5.136839305e+10 inf =   3.257e-05 (34015) 2
* 59700: obj =   5.100825189e+10 inf =   2.582e-05 (37906) 3
* 59922: obj =   5.065998911e+10 inf =   2.552e-05 (37309) 1
* 60215: obj =   5.028082756e+10 inf =   2.533e-05 (37988) 2
* 60463: obj =   4.996295474e+10 inf =   2.563e-05 (37664) 2
* 60715: obj =   4.960850035e+10 inf =   2.586e-05 (37490) 2
* 61009: obj =   4.924682145e+10 inf =   2.590e-05 (41715) 2
* 61287: obj =   4.890852909e+10 inf =   2.533e-05 (36342) 2
* 61578: obj =   4.861637167e+10 inf =   3.324e-05 (45229) 2
* 61888: obj =   4.843155090e+10 inf =   2.752e-05 (36516) 3
* 62166: obj =   4.824782612e+10 inf =   2.948e-05 (42979) 2
* 62451: obj =   4.802804529e+10 inf =   2.984e-05 (36707) 1
* 62752: obj =   4.774061040e+10 inf =   2.954e-05 (37674) 3
* 63002: obj =   4.752165101e+10 inf =   2.997e-05 (38552) 1
* 63260: obj =   4.722286873e+10 inf =   1.834e-04 (43545) 2
* 63530: obj =   4.704609551e+10 inf =   1.827e-04 (35134) 2
* 63757: obj =   4.690582616e+10 inf =   4.365e-05 (43655) 2
* 63998: obj =   4.670402272e+10 inf =   4.422e-05 (36692) 2
* 64271: obj =   4.646114433e+10 inf =   4.390e-05 (35597) 2
* 64553: obj =   4.628130759e+10 inf =   4.868e-05 (45128) 2
* 64876: obj =   4.608703800e+10 inf =   4.858e-05 (32849) 2
* 65214: obj =   4.586554448e+10 inf =   4.840e-05 (39545) 2
* 65528: obj =   4.570262785e+10 inf =   3.483e-05 (35019) 2
* 65858: obj =   4.553223985e+10 inf =   3.452e-05 (33643) 3
* 66206: obj =   4.530720594e+10 inf =   3.420e-05 (33430) 2
* 66522: obj =   4.510128150e+10 inf =   6.718e-05 (36832) 2
* 66859: obj =   4.493349983e+10 inf =   6.703e-05 (35905) 3
